Date,Open,High,Low,Close,Volume,time
2013-10-24,503.47000122,505.73999023,500.64001465,501.17001343,86402000,1382580000
2013-10-25,502.79998779,503.17001343,499.52999878,500.75,74173000,1382666400
2013-10-28,501.26998901,501.85998535,496.45999146,496.45999146,73719000,1382925600
2013-10-29,494.66000366,497.73999023,494.01000977,497.07998657,57867000,1383012000
2013-10-30,498.0,500.97000122,497.95001221,499.07000732,48372000,1383098400
2013-10-31,500.04000854,500.58999634,497.41000366,497.41000366,43345000,1383184800
2013-11-01,499.20999146,499.26998901,496.92999268,497.07998657,42529000,1383271200
2013-11-04,497.25,498.48999023,495.67999268,497.07000732,65125000,1383530400
2013-11-05,497.38000488,500.27999878,495.83999634,499.79000854,75860000,1383616800
2013-11-06,500.82998657,502.51998901,499.57998657,502.51998901,81850000,1383703200
2013-11-07,501.3999939,503.29998779,499.29000854,499.85998535,106540000,1383789600
2013-11-08,498.79998779,500.47000122,498.32998657,498.60998535,72791000,1383876000
2013-11-11,498.02999878,501.07998657,497.41000366,501.07998657,93277000,1384135200
2013-11-12,500.80999756,501.35998535,496.79000854,497.6499939,121980000,1384221600
2013-11-13,496.8999939,498.61999512,495.67999268,496.11999512,64527000,1384308000
2013-11-14,496.67001343,498.82000732,496.11999512,497.8500061,65073000,1384394400
2013-11-15,497.88000488,502.11999512,497.72000122,501.33999634,91215000,1384480800
2013-11-18,503.32998657,507.41000366,503.32998657,506.48001099,115880000,1384740000
2013-11-19,505.45001221,507.63000488,504.70999146,504.70999146,96549000,1384826400
2013-11-20,504.67999268,505.75,502.98001099,505.51998901,107162000,1384912800
2013-11-21,507.0,510.20999146,503.54000854,503.54000854,173935000,1384999200
2013-11-22,504.51998901,506.45999146,502.82998657,505.64001465,106375000,1385085600
2013-11-25,506.94000244,509.72000122,506.07998657,506.45999146,97383000,1385344800
2013-11-26,506.98001099,510.75,504.6499939,509.16000366,93482000,1385431200
2013-11-27,510.95999146,513.25,507.66000366,508.42999268,102743000,1385517600
2013-11-28,508.52999878,509.1499939,506.98999023,507.70999146,82129000,1385604000
2013-11-29,507.42001343,508.77999878,506.04998779,507.77999878,101245000,1385690400
2013-12-02,509.13000488,509.48001099,507.1000061,508.52999878,77688000,1385949600
2013-12-03,508.13000488,514.83001709,508.13000488,511.61999512,125503000,1386036000
2013-12-04,512.01000977,513.40002441,510.66000366,510.88000488,111829000,1386122400
2013-12-05,510.39001465,512.21002197,507.51998901,510.02999878,103882000,1386208800
2013-12-06,510.02999878,512.36999512,509.76000977,510.11999512,78639000,1386295200
2013-12-09,514.13000488,514.13000488,510.94000244,511.23001099,102308000,1386554400
2013-12-10,512.09997559,513.83001709,510.23999023,511.6000061,80982000,1386640800
2013-12-11,511.73999023,511.80999756,504.8999939,505.30999756,103539000,1386727200
2013-12-12,503.76998901,507.67999268,503.76000977,506.92001343,80162000,1386813600
2013-12-13,507.07000732,509.3500061,505.48999023,506.05999756,67670000,1386900000
2013-12-16,503.45999146,506.51998901,502.04000854,502.04000854,62699000,1387159200
2013-12-17,503.23999023,505.67001343,502.20001221,505.67001343,73600000,1387245600
2013-12-18,505.1000061,506.10998535,503.66000366,505.25,62331000,1387332000
2013-12-19,505.8999939,508.04000854,504.92001343,506.27999878,111084000,1387418400
2013-12-20,507.39001465,508.29000854,504.45001221,504.45001221,142430000,1387504800
2013-12-23,506.6000061,509.41000366,505.73001099,508.67999268,108210000,1387764000
2013-12-24,508.60998535,509.54000854,505.61999512,505.61999512,91414000,1387850400
2013-12-25,506.36999512,506.52999878,503.02999878,504.42001343,73606000,1387936800
2013-12-26,504.41000366,507.57000732,503.58999634,506.54998779,82921000,1388023200
2013-12-27,507.07998657,510.08999634,506.41000366,506.41000366,73740000,1388109600
2013-12-30,506.3500061,507.01998901,500.3500061,500.3500061,94287000,1388368800
2013-12-31,500.04000854,506.44000244,499.48999023,504.63000488,60923000,1388455200
2014-01-02,505.60998535,506.70999146,503.04000854,504.51000977,57718000,1388628000
2014-01-03,504.41000366,506.27999878,503.94000244,505.36999512,55600000,1388714400
2014-01-06,505.73999023,509.1000061,504.27999878,509.1000061,68738000,1388973600
2014-01-07,510.83999634,513.0,509.86999512,510.11999512,74364000,1389060000
2014-01-08,511.02999878,514.20001221,509.01000977,513.90002441,70297000,1389146400
2014-01-09,513.65997314,516.97998047,513.52001953,516.97998047,91486000,1389232800
2014-01-10,518.33001709,523.05999756,518.23999023,518.94000244,107180000,1389319200
2014-01-13,519.30999756,522.32000732,518.7800293,521.10998535,71994000,1389578400
2014-01-14,521.13000488,524.59002686,520.63000488,522.30999756,94865000,1389664800
2014-01-15,523.7199707,527.09002686,522.45001221,526.67999268,127582000,1389751200
2014-01-16,528.83001709,533.53997803,527.90002441,533.53997803,97753000,1389837600
2014-01-17,536.80999756,549.88000488,536.80999756,543.59002686,118065000,1389924000
2014-01-20,548.2199707,559.92999268,548.2199707,553.66998291,105722000,1390183200
2014-01-21,555.7199707,560.17999268,547.65002441,559.90997314,100920000,1390269600
2014-01-22,561.34002686,564.60998535,551.91998291,551.91998291,125282000,1390356000
2014-01-23,550.88000488,556.5,550.52001953,553.54998779,73716000,1390442400
2014-01-24,555.65997314,560.19000244,553.46002197,560.19000244,88006000,1390528800
2014-01-27,560.45001221,560.48999023,556.34997559,556.52001953,67552000,1390788000
2014-02-06,555.51000977,557.28997803,551.45001221,554.67999268,89235000,1391652000
2014-02-07,557.71002197,558.51000977,549.36999512,549.76000977,124967000,1391738400
2014-02-10,550.40997314,555.90002441,548.55999756,555.90002441,110187000,1391997600
2014-02-11,559.73999023,561.83001709,553.90002441,553.90002441,175048000,1392084000
2014-02-12,555.54998779,564.25,554.26000977,564.25,126103000,1392170400
2014-02-13,567.58001709,570.67999268,565.27001953,570.17999268,147121000,1392256800
2014-02-14,573.09002686,576.17999268,569.38000488,572.2199707,142810000,1392343200
2014-02-17,571.90997314,572.84997559,567.89001465,570.20001221,163685000,1392602400
2014-02-18,570.79998779,574.55999756,570.15997314,574.55999756,160281000,1392688800
2014-02-19,578.5300293,578.79998779,573.85998535,578.11999512,159097000,1392775200
2014-02-20,579.64001465,584.09997559,565.30999756,571.03997803,259679000,1392861600
2014-02-21,570.95001221,574.60998535,565.33001709,570.57000732,124763000,1392948000
2014-02-24,571.94000244,576.58001709,570.07000732,576.58001709,119028000,1393207200
2014-02-25,575.48999023,586.20001221,575.48999023,586.20001221,143515000,1393293600
2014-02-26,590.64001465,590.78997803,582.96002197,589.80999756,157701000,1393380000
2014-02-27,587.82000732,596.40002441,584.78997803,584.78997803,225207000,1393466400
2014-02-28,586.11999512,591.35998535,581.63000488,586.47998047,119409000,1393552800
2014-03-03,586.65002441,587.10998535,573.36999512,573.38000488,143297000,1393812000
2014-03-04,569.34002686,572.2800293,563.54998779,569.9699707,125572000,1393898400
2014-03-05,569.9699707,577.5,569.9699707,574.94000244,105933000,1393984800
2014-03-06,576.16998291,580.03997803,574.58001709,578.55999756,141305000,1394071200
2014-03-07,579.40002441,582.23999023,579.09997559,579.75,157003000,1394157600
2014-03-10,580.84002686,584.80999756,579.97998047,583.69000244,145026000,1394416800
2014-03-11,585.09997559,589.45001221,582.20001221,588.5,162493000,1394503200
2014-03-12,590.94000244,596.38000488,590.02001953,590.02001953,177884000,1394589600
2014-03-13,590.83001709,595.2199707,590.35998535,595.2199707,133779000,1394676000
2014-03-14,596.20001221,600.67999268,594.51000977,596.83001709,163990000,1394762400
2014-03-17,603.04998779,603.23999023,598.70001221,600.35998535,170181000,1395021600
2014-03-18,602.01000977,603.21002197,597.7800293,599.84997559,205402000,1395108000
2014-03-19,600.72998047,605.90997314,600.41998291,605.59002686,192008000,1395194400
2014-03-20,607.39001465,608.51000977,600.0300293,600.26000977,192917000,1395280800
2014-03-21,600.26000977,607.2199707,600.26000977,601.75,229955000,1395367200
2014-03-24,606.54998779,609.20001221,604.17999268,607.54998779,194824000,1395626400
2014-03-25,609.01000977,609.46002197,601.84997559,601.84997559,261347000,1395712800
2014-03-26,603.53997803,603.67999268,587.52001953,588.05999756,259085000,1395799200
2014-03-27,588.94000244,591.70001221,582.80999756,590.14001465,151336000,1395885600
2014-03-28,592.82000732,595.70001221,590.59002686,594.28997803,122367000,1395972000
2014-03-31,594.28997803,597.2199707,591.57000732,591.57000732,119515000,1396231200
2014-04-01,590.92999268,593.0300293,582.29998779,583.84997559,173005000,1396317600
2014-04-02,584.16998291,586.5,574.40002441,581.66998291,146780000,1396404000
2014-04-03,584.45001221,590.90997314,582.83001709,589.44000244,105523000,1396490400
2014-04-04,589.90002441,593.7199707,588.34002686,593.03997803,119718000,1396576800
2014-04-07,595.7199707,602.54998779,595.34997559,600.57000732,115651000,1396836000
2014-04-08,600.71002197,603.25,598.52001953,603.25,127466000,1396922400
2014-04-10,603.25,608.89001465,600.42999268,601.33001709,114248000,1397095200
2014-04-11,597.86999512,602.01000977,594.96002197,600.57000732,106926000,1397181600
2014-04-14,602.66998291,602.70001221,596.04998779,596.10998535,128080000,1397440800
2014-04-15,596.0,597.98999023,586.09002686,586.09002686,131669000,1397527200
2014-04-16,583.64001465,585.51000977,567.60998535,574.28997803,149242000,1397613600
2014-04-17,580.39001465,583.51000977,575.83001709,580.30999756,117693000,1397700000
2014-04-18,580.89001465,580.89001465,565.33001709,565.33001709,116973000,1397786400
2014-04-21,564.21002197,568.44000244,558.14001465,558.14001465,95569000,1398045600
2014-04-22,560.63000488,569.86999512,556.4699707,569.86999512,99105000,1398132000
2014-04-23,569.83001709,573.39001465,567.03997803,569.35998535,71203000,1398218400
2014-04-24,568.38000488,571.57000732,566.94000244,570.46002197,56696000,1398304800
2014-04-25,571.71002197,580.73999023,571.71002197,578.91998291,64320000,1398391200
2014-04-28,579.04998779,580.70001221,573.09997559,573.09997559,58054000,1398650400
2014-04-29,570.64001465,578.21002197,570.64001465,578.0,50435000,1398736800
2014-05-05,578.45001221,580.10998535,564.4699707,564.84997559,76076000,1399255200
2014-05-06,561.85998535,562.35998535,545.9699707,555.10998535,100642000,1399341600
2014-05-07,558.03997803,561.55999756,553.21002197,559.9699707,52417000,1399428000
2014-05-08,550.75,550.75,525.36999512,527.09002686,146492000,1399514400
2014-05-09,522.82000732,542.55999756,522.70001221,542.46002197,118856000,1399600800
2014-05-12,536.82000732,536.82000732,512.25,517.04998779,99261000,1399860000
2014-05-13,508.76000977,518.45001221,508.51000977,513.90997314,98641000,1399946400
2014-05-14,510.16000366,529.59002686,509.82000732,529.5300293,108324000,1400032800
2014-05-15,529.39001465,537.27001953,512.40997314,524.04998779,132543000,1400119200
2014-05-16,522.0,529.48999023,519.39001465,529.48999023,83778000,1400205600
2014-05-19,530.30999756,534.67999268,525.82000732,533.03997803,106138000,1400464800
2014-05-20,531.0,537.92999268,527.69000244,537.52001953,105112000,1400551200
2014-05-21,537.95001221,543.92999268,533.19000244,543.88000488,102988000,1400637600
2014-05-22,543.34997559,547.20001221,541.42999268,541.72998047,130117000,1400724000
2014-05-23,542.44000244,545.29998779,540.51000977,541.48999023,85739000,1400810400
2014-05-26,541.42999268,544.92999268,536.27001953,544.05999756,85780000,1401069600
2014-05-27,543.54998779,552.75,542.48999023,552.75,127183000,1401156000
2014-05-28,554.32000732,557.92999268,553.0300293,557.34002686,108158000,1401242400
2014-05-29,556.29998779,562.33001709,555.32000732,558.45001221,116324000,1401328800
2014-05-30,558.7800293,565.04998779,557.20001221,562.02001953,83436000,1401415200
2014-06-02,560.28997803,563.11999512,554.44000244,556.79998779,80227000,1401674400
2014-06-03,557.34002686,560.61999512,554.96002197,558.76000977,58636000,1401760800
2014-06-04,559.13000488,559.19000244,550.22998047,553.46002197,67931000,1401847200
2014-06-05,552.20001221,553.96002197,548.4699707,551.09997559,59225000,1401933600
2014-06-06,553.61999512,559.03997803,551.79998779,559.03997803,60850000,1402020000
2014-06-09,559.03997803,571.83001709,558.64001465,565.60998535,112503000,1402279200
2014-06-10,566.30999756,571.72998047,564.32000732,566.89001465,79447000,1402365600
2014-06-11,567.77001953,573.04998779,566.51000977,570.35998535,85221000,1402452000
2014-06-12,571.19000244,574.75,568.58001709,573.77001953,96141000,1402538400
2014-06-13,573.58001709,577.27001953,573.0300293,574.47998047,72408000,1402624800
2014-06-16,575.20001221,575.86999512,571.76000977,572.36999512,87594000,1402884000
2014-06-17,571.79998779,573.15002441,567.58001709,572.25,108669000,1402970400
2014-06-18,571.73999023,575.0300293,570.0300293,570.0300293,99956000,1403056800
2014-06-19,564.92999268,569.40997314,558.65002441,567.34997559,124334000,1403143200
2014-06-20,568.45001221,571.76000977,560.7800293,560.7800293,123446000,1403229600
2014-06-23,561.9699707,567.71002197,561.9699707,565.91998291,62544000,1403488800
2014-06-24,565.4699707,570.36999512,565.11999512,569.73999023,67576000,1403575200
2014-06-25,570.33001709,574.61999512,569.27001953,572.27001953,96491000,1403661600
2014-06-26,572.22998047,578.28997803,570.33001709,576.40002441,123938000,1403748000
2014-06-27,576.28997803,580.75,575.09997559,578.82000732,74415000,1403834400
2014-06-30,578.2800293,582.26000977,577.76000977,578.13000488,76497000,1404093600
2014-07-01,578.92999268,582.15997314,577.29998779,578.07000732,104404000,1404180000
2014-07-02,578.90002441,581.89001465,576.88000488,578.79998779,109096000,1404266400
2014-07-03,581.23999023,585.02001953,580.54998779,585.02001953,131464000,1404352800
